               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/fish_mAP,metrics/jellyfish_mAP, metrics/penguin_mAP,  metrics/puffin_mAP,   metrics/shark_mAP,metrics/starfish_mAP,metrics/stingray_mAP, metrics/fish_mAP_50,metrics/jellyfish_mAP_50,metrics/penguin_mAP_50,metrics/puffin_mAP_50,metrics/shark_mAP_50,metrics/starfish_mAP_50,metrics/stingray_mAP_50
                  61,            0.032757,           0.0052314,           0.0023263,             0.77184,             0.76134,             0.76797,             0.44602,            0.038221,           0.0048504,           0.0062892,             0.00802,             0.00802,             0.00802,             0.46654,             0.52865,             0.29241,             0.31322,             0.44227,             0.58648,             0.49254,             0.79027,             0.95151,             0.68766,             0.59449,             0.73311,             0.84755,             0.77124
                  62,            0.032334,           0.0050953,           0.0023775,             0.76607,             0.75521,             0.76205,             0.45172,            0.039073,           0.0047209,           0.0057895,            0.007987,            0.007987,            0.007987,              0.4568,             0.55522,             0.31247,             0.27713,             0.46358,             0.60989,             0.48693,             0.81003,             0.94568,             0.71198,             0.53537,             0.75291,             0.84591,             0.73247
                  63,            0.032374,           0.0049433,           0.0021859,              0.7992,             0.73317,             0.76881,             0.44544,            0.038374,           0.0046671,           0.0058724,            0.007954,            0.007954,            0.007954,             0.45819,              0.5494,             0.34232,             0.26183,             0.48138,             0.52321,             0.50178,             0.79758,              0.9537,             0.71843,             0.59922,             0.72289,             0.84046,             0.74937
                  64,            0.032341,           0.0048949,           0.0020844,             0.80972,             0.76082,             0.78491,              0.4588,            0.037943,           0.0046036,           0.0061265,            0.007921,            0.007921,            0.007921,             0.47949,             0.47567,             0.28472,             0.34037,             0.50212,             0.60212,             0.52708,             0.82302,             0.93799,             0.67674,             0.69562,             0.76462,             0.82284,             0.77353
                  65,            0.030905,           0.0047023,           0.0023085,             0.80289,              0.7697,             0.79584,             0.46338,            0.037519,            0.004579,           0.0064064,            0.007888,            0.007888,            0.007888,             0.48231,             0.47141,             0.33495,             0.36096,             0.47443,             0.61042,             0.50918,             0.84254,             0.91994,             0.74943,             0.68628,             0.73122,             0.83207,             0.80944
                  66,            0.032803,           0.0048607,           0.0021748,             0.82505,             0.73758,             0.77527,             0.44132,            0.039718,           0.0045748,           0.0058262,            0.007855,            0.007855,            0.007855,             0.48002,             0.50308,             0.30469,             0.28425,             0.44391,             0.61564,             0.45767,              0.8441,             0.93039,             0.73281,             0.59674,             0.71715,             0.84289,             0.76281
                  67,            0.032326,           0.0046839,           0.0021666,             0.78785,             0.75515,              0.7739,             0.46412,            0.038578,            0.004612,           0.0059372,            0.007822,            0.007822,            0.007822,             0.47822,              0.5723,             0.32472,             0.32776,             0.42544,             0.60004,              0.5204,             0.84536,             0.96356,             0.69085,             0.60202,              0.7012,              0.8512,             0.76308
                  68,            0.032071,           0.0048425,            0.002193,             0.81346,             0.72903,             0.78133,             0.46395,             0.03813,           0.0045845,           0.0062624,            0.007789,            0.007789,            0.007789,             0.48127,             0.47653,              0.3397,             0.33152,             0.44726,             0.63102,             0.54037,              0.8416,             0.91902,             0.70674,             0.65285,             0.71251,             0.85742,             0.77914
                  69,            0.031789,            0.004874,           0.0021515,             0.81829,             0.73836,             0.78574,              0.4639,             0.03749,           0.0046347,           0.0060081,            0.007756,            0.007756,            0.007756,             0.48476,             0.53041,             0.33985,              0.3108,             0.48543,             0.57799,             0.51805,             0.83362,             0.93727,             0.72041,             0.66372,             0.74746,             0.84974,             0.74799
                  70,            0.031524,           0.0046938,           0.0020717,             0.83529,             0.72676,             0.78241,             0.47866,            0.039167,           0.0046242,           0.0059461,            0.007723,            0.007723,            0.007723,             0.45847,             0.58139,             0.32837,             0.32553,             0.49207,             0.63147,             0.53329,             0.82379,             0.95198,             0.72381,              0.6723,             0.74215,             0.83296,              0.7299
                  71,            0.030336,           0.0045333,           0.0024014,             0.79991,             0.73291,             0.75088,             0.44026,            0.038768,           0.0046692,           0.0058808,             0.00769,             0.00769,             0.00769,              0.4588,             0.52688,             0.29388,             0.24831,             0.47121,             0.57785,             0.50486,              0.8207,             0.93845,             0.69145,             0.51445,             0.70494,             0.83797,             0.74817
                  72,            0.032411,           0.0048091,           0.0024281,             0.77035,              0.7523,             0.76781,             0.45366,            0.038384,           0.0047638,           0.0064628,            0.007657,            0.007657,            0.007657,             0.46489,             0.48552,             0.32008,             0.29224,             0.46236,             0.58915,             0.56137,             0.82475,             0.90855,             0.72656,             0.59911,             0.70666,             0.82247,             0.78654
